"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Description"
"C1","1","2.2 uF","","","","Capacitor_SMD:C_0603_1608Metric","GRM219R61C225KA88D","Unpolarized capacitor, small symbol"
"C2,C12","2","2.2 uF","","","","Capacitor_SMD:C_0805_2012Metric","GRM219R61C225KA88D","Unpolarized capacitor, small symbol"
"C3,C7","2","1.5 pF","","","","Capacitor_SMD:C_0805_2012Metric","GRM1885C1H1R5CA01D","Unpolarized capacitor, small symbol"
"C4,C9,C13","3","0.1 uF","","","","Capacitor_SMD:C_0603_1608Metric","GCJ188R71H104KA12D,GCM188R71C104KA37D","Unpolarized capacitor, small symbol"
"C5,C11","2","1 nF","","","","Capacitor_SMD:C_0603_1608Metric","GRM1885C1H102JA01D","Unpolarized capacitor, small symbol"
"C6,C10","2","10 uF","","","","Capacitor_SMD:C_0805_2012Metric","GRM21BR61C106KE15L","Unpolarized capacitor, small symbol"
"C8","1","2.2u F","","","","Capacitor_SMD:C_0805_2012Metric","GRM219R61C225KA88D","Unpolarized capacitor, small symbol"
"C14,C15","2","2.4 nF","","","","Capacitor_SMD:C_0805_2012Metric","GRM2165C1H242JA01D","Unpolarized capacitor, small symbol"
"C16","1","0.01 uF","","","","Capacitor_SMD:C_0603_1608Metric","GMC10X7R103M16NT","Unpolarized capacitor, small symbol"
"CR1,CR2","2","SP3031-01ETG","","","","SOD882_LTF","https://www.mouser.in/ProductDetail/Littelfuse/SP3031-01ETG?qs=B%2FZyIADl9o%252B%2FfpJwZJPmLg%3D%3D",""
"H1,H2,H5,H6","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~","Mounting Hole with connection"
"J1,J2","2","Conn_Coaxial","","","","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount","~","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)"
"L1,L3","2","6.2 nH","","","","Inductor_SMD:L_0805_2012Metric","0805HP-6N2","0805HP-6N2"
"L2,L4,L5","3","15 uH","","","","Inductor_SMD:L_1210_3225Metric","LQH32DN150K53L","LQH32DN150K53L"
"R1,R2","2","1.5k","","","","Resistor_SMD:R_0805_2012Metric","RK73H2ATTD1501F","Resistor, small symbol"
"R3","1","36.5","","","","Resistor_SMD:R_0805_2012Metric","RK73H2ATTD36R5F","Resistor, small symbol"
"R4","1","10","","","","Resistor_SMD:R_0805_2012Metric","RK73H2ATTD10R0F","Resistor, small symbol"
"U1,U3","2","PHA-13LN","","","","Package_TO_SOT_SMD:SOT-89-3","https://www.minicircuits.com/pdfs/PHA-13LN+.pdf","1-1000MHz +22.4dB Low Noise Amplifier, SOT-89"
"U2","1","BSF108+","","","","RF_Mini-Circuits:Mini-Circuits_HF1139_LandPatternPL-230","https://www.minicircuits.com/pdfs/BSF-108+.pdf","Band Reject filter 88 - 108 MHz"
"U4","1","RBP188","","","","RF_Mini-Circuits:Mini-Circuits_GP731_LandPatternPL-176","https://www.minicircuits.com/pdfs/RBP-188+.pdf","Band pass filter 138 - 250 MHz"
"U5","1","PSA8A+","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6_Handsoldering","https://www.minicircuits.com/pdfs/PSA-8A+.pdf","Amplifier Gaom block"
"U6","1","TCBT-6G+","","","","minickts_kicad:GU1604","https://www.minicircuits.com/pdfs/TCBT-6G+.pdf","TCBT-6G+"
"U7,U8,U9","3","PAT-3","","","","minickts_kicad:PAT-3+","",""
