"Reference","Qty","Value","Footprint","Datasheet"
"C1,C2,C8,C12","4","2.2 uF,2.2u F","Capacitor_SMD:C_0805_2012Metric","GRM219R61C225KA88D"
"C3,C7","2","1.5 pF","Capacitor_SMD:C_0805_2012Metric","GRM1885C1H1R5CA01D"
"C4,C9","2","0.1 uF","Capacitor_SMD:C_0603_1608Metric","GCM188R71C104KA37D"
"C5,C11","2","1 nF","Capacitor_SMD:C_0603_1608Metric","GRM1885C1H102JA01D"
"C6,C10","2","10 uF","Capacitor_SMD:C_0805_2012Metric","GRM21BR61C106KE15L"
"C13","1","0.1 uF","Capacitor_SMD:C_0603_1608Metric","GCJ188R71H104KA12D"
"C14,C15","2","2.4 nF","Capacitor_SMD:C_0805_2012Metric","GRM2165C1H242JA01D"
"C16","1","0.01 uF","Capacitor_SMD:C_0603_1608Metric","GMC10X7R103M16NT"
"CR1,CR2","2","SP3031-01ETG","SOD882_LTF","SP3031-01ETG"
"J1,J2","2","Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount","MC002126"
"L1,L3","2","6.2 nH","Inductor_SMD:L_0805_2012Metric","0805HP-6N2"
"L2,L4,L5","3","15 uH","Inductor_SMD:L_1210_3225Metric","LQH32DN150K53L"
"R1,R2","2","1.5k","Resistor_SMD:R_0805_2012Metric","RK73H2ATTD1501F"
"R3","1","36.5","Resistor_SMD:R_0805_2012Metric","RK73H2ATTD36R5F"
"R4","1","10","Resistor_SMD:R_0805_2012Metric","RK73H2ATTD10R0F"
"U1,U3","2","PHA-13LN","Package_TO_SOT_SMD:SOT-89-3","PHA-13LN+"
"U2","1","BSF108+","RF_Mini-Circuits:Mini-Circuits_HF1139_LandPatternPL-230","BSF-108+"
"U4","1","RBP188","RF_Mini-Circuits:Mini-Circuits_GP731_LandPatternPL-176","RBP188"
"U5","1","PSA8A+","Package_TO_SOT_SMD:SOT-363_SC-70-6_Handsoldering","PSA8A+"
"U6","1","TCBT-6G+","minickts_kicad:GU1604","TCBT-6G+"
"U7,U8,U9","3","PAT-3","minickts_kicad:PAT-3+","PAT-3+"
